Écoles/Instituts,Ville,Type d'établissement,Diplôme,Durée d'études,Conditions d'accès,Filières Bacs acceptées,Seuil,Filières d'études possibles,Seuil (2024),Seuil (2022),Seuil (2023),Type,Seuil (2020),Seuil (2019),Seuil (2021),Seuil (2017),Seuil (2013),Seuil (2018)
EST Sidi Bennour,Sidi Bennour,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Génie Informatique,,,,École supérieure de technologie publique,,,,,,
EST Sidi Bennour,Sidi Bennour,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Techniques de Management,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Conception et Développement des Logiciels,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Conception et Prototypage Industriel,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Électronique et Énergies Renouvelables,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,"Électronique, Informatique Industrielle et Robotique",,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Génie Civil,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Génie Minier,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Géométallurgie et Géotechnique Minière,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Gestion et Technologie de l'Eau,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Industrie Agroalimentaire,,,,École supérieure de technologie publique,,,,,,
EST Fqih Ben Saleh,Fqih Ben Saleh,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Informatique Décisionnelle et Statistiques,,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Génie Industriel 4.0 et Techniques Avancées Maintenance,,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Informatique Décisionnelle et Sciences des Données,,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Ingénierie Logicielle et Cybersecurity,,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Intelligence Artificielle et Ingénierie des Données (IAID),,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Management Logistique et Transport,,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Marketing et Gestion des Projets Digitaux Innovants,,,,École supérieure de technologie publique,,,,,,
EST Nador,Nador,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Réseaux et Télécommunication (RT),,,,École supérieure de technologie publique,,,,,,
EST Ouarzazate,Ouarzazate,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Développeur d'Applications Web & Mobile,,,,École supérieure de technologie publique,,,,,,
EST Ouarzazate,Ouarzazate,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,"Finance, Banque et Transformation Digitale",,,,École supérieure de technologie publique,,,,,,
EST Ouarzazate,Ouarzazate,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Génie Civil - Construction Durable,,,,École supérieure de technologie publique,,,,,,
EST Ouarzazate,Ouarzazate,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Génie de l'Eau et de l'Environnement,,,,École supérieure de technologie publique,,,,,,
EST Tétouan,Tétouan,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Industrie Navale,,,,École supérieure de technologie publique,,,,,,
EST Tétouan,Tétouan,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Intelligence Artificielle,,,,École supérieure de technologie publique,,,,,,
EST Tétouan,Tétouan,,Diplôme Universitaire de Technologie (DUT),2 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales ou STE/STM ou bac professionnel. Admission sans examen, uniquement sur pré-sélection (75% Bac National + 25% Bac Régional) X coefficient de pondération. [cite: 144]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT), Sciences et Technologies Électriques (STE), Sciences et Technologies Mécaniques (STM), Bac Professionnel (Fabrication Aéronautique, Fabrication Mécanique, Maintenance Industrielle, Dispositifs Électrotechniques et de Communication, Maintenance Informatique et Réseaux, Systèmes Électroniques et Numériques, Maintenance des Véhicules Automobiles, Fabrication de Structures Métalliques, Conception de Bâtiments, Chantiers de Construction, Logistique, Énergies Renouvelables (Énergie Solaire)) [cite: 143]",,Techniques Instrumentales et Mesure Physico-Chimique,,,,École supérieure de technologie publique,,,,,,
École Nationale de l'Architecture (ENA),Rabat,,Diplôme d'Ingénieur d'État en Architecture,6 ans,"Baccalauréat scientifique, technologique ou économique et de gestion + pré-sélection + examen écrit + examen oral. Âge inférieur à 22 ans. [cite: 164] Pré-sélection basée sur 75% Bac National + 25% Bac Régional[cite: 39].","Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Sciences Économiques, Sciences de Gestion Comptable, Sciences et Technologies Électriques, Sciences et Technologies Mécaniques [cite: 39]",,Architecture,,,,École publique,,,,,,
École Nationale de l'Architecture (ENA),Fès,,Diplôme d'Ingénieur d'État en Architecture,6 ans,"Baccalauréat scientifique, technologique ou économique et de gestion + pré-sélection + examen écrit + examen oral. Âge inférieur à 22 ans. [cite: 164] Pré-sélection basée sur 75% Bac National + 25% Bac Régional[cite: 39].","Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Sciences Économiques, Sciences de Gestion Comptable, Sciences et Technologies Électriques, Sciences et Technologies Mécaniques [cite: 39]",,Architecture,,,,École publique,,,,,,
École Nationale de l'Architecture (ENA),Tétouan,,Diplôme d'Ingénieur d'État en Architecture,6 ans,"Baccalauréat scientifique, technologique ou économique et de gestion + pré-sélection + examen écrit + examen oral. Âge inférieur à 22 ans. [cite: 164] Pré-sélection basée sur 75% Bac National + 25% Bac Régional[cite: 39].","Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Sciences Économiques, Sciences de Gestion Comptable, Sciences et Technologies Électriques, Sciences et Technologies Mécaniques [cite: 39]",,Architecture,,,,École publique,,,,,,
École Nationale de l'Architecture (ENA),Marrakech,,Diplôme d'Ingénieur d'État en Architecture,6 ans,"Baccalauréat scientifique, technologique ou économique et de gestion + pré-sélection + examen écrit + examen oral. Âge inférieur à 22 ans. [cite: 164] Pré-sélection basée sur 75% Bac National + 25% Bac Régional[cite: 39].","Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Sciences Économiques, Sciences de Gestion Comptable, Sciences et Technologies Électriques, Sciences et Technologies Mécaniques [cite: 39]",,Architecture,,,,École publique,,,,,,
École Nationale de l'Architecture (ENA),Agadir,,Diplôme d'Ingénieur d'État en Architecture,6 ans,"Baccalauréat scientifique, technologique ou économique et de gestion + pré-sélection + examen écrit + examen oral. Âge inférieur à 22 ans. [cite: 164] Pré-sélection basée sur 75% Bac National + 25% Bac Régional[cite: 39].","Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Sciences Économiques, Sciences de Gestion Comptable, Sciences et Technologies Électriques, Sciences et Technologies Mécaniques [cite: 39]",,Architecture,,,,École publique,,,,,,
École Nationale de l'Architecture (ENA),Oujda,,Diplôme d'Ingénieur d'État en Architecture,6 ans,"Baccalauréat scientifique, technologique ou économique et de gestion + pré-sélection + examen écrit + examen oral. Âge inférieur à 22 ans. [cite: 164] Pré-sélection basée sur 75% Bac National + 25% Bac Régional[cite: 39].","Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Sciences Économiques, Sciences de Gestion Comptable, Sciences et Technologies Électriques, Sciences et Technologies Mécaniques [cite: 39]",,Architecture,,,,École publique,,,,,,
Institut Supérieur de l'Information et de la Communication (ISIC),Rabat,,Licence en Information et Communication,3 ans,Baccalauréat toutes filières + pré-sélection + examen écrit + examen oral. Âge entre 17 et 25 ans. Pré-sélection basée sur 50% Bac National + 50% Bac Régional. [cite: 167],Toutes les filières du baccalauréat,,Journalisme Écrit,,,,Institut public,,,,,,
Institut Supérieur de l'Information et de la Communication (ISIC),Rabat,,Licence en Information et Communication,3 ans,Baccalauréat toutes filières + pré-sélection + examen écrit + examen oral. Âge entre 17 et 25 ans. Pré-sélection basée sur 50% Bac National + 50% Bac Régional. [cite: 167],Toutes les filières du baccalauréat,,Journalisme Audiovisuel,,,,Institut public,,,,,,
Institut Supérieur de l'Information et de la Communication (ISIC),Rabat,,Licence en Information et Communication,3 ans,Baccalauréat toutes filières + pré-sélection + examen écrit + examen oral. Âge entre 17 et 25 ans. Pré-sélection basée sur 50% Bac National + 50% Bac Régional. [cite: 167],Toutes les filières du baccalauréat,,Communication Institutionnelle,,,,Institut public,,,,,,
Institut Supérieur de Commerce et d'Administration des Entreprises (ISCAE Casa),Casablanca,,"Licence Fondamentale en Gestion, Diplôme de l'Institut","3 ans (Licence), 3 ans (Diplôme après Bac+2)",Baccalauréat scientifique ou économique et de gestion. Âge inférieur à 21 ans pour la Licence. Pour le Diplôme après Bac+2 : étudiants des classes préparatoires (CNC) ou Bac+2 (DEUG/DUT en Économie/Gestion). Âge inférieur à 24 ans. Sélection + examens écrits + examens oraux. [cite: 146],"Baccalauréat Sciences Scientifiques, Économiques, Sciences de Gestion Comptable, Sciences Mathématiques, Sciences Physiques et Chimiques, Sciences de la Vie et de la Terre, Bac Professionnel, Arts, Sciences Humaines (depuis 2024 pour la Licence) [cite: 146]",,Commerce International,,,,Institut public,,,,,,
